method,path,family,side,wire_version,feature_id,feature_state,applicable,error_codes,evidence_ref
DELETE,/slimapi/session/{session_id},directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
DELETE,/slimapi/session/{session_id},directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
DELETE,/slimapi/session/{session_id},middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
DELETE,/slimapi/session/{session_id},middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
DELETE,/slimapi/session/{session_id},selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
DELETE,/slimapi/session/{session_id},selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/actions,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/actions,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/actions,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/actions,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/actions,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/actions,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/agent,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/agent,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/agent,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/agent,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/agent,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/agent,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/api/session/active,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/api/session/active,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/api/session/active,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
