method,path,actual_defined_at,contract_refs,presence,wire_version_face,directory_consumption,upstream_call,projection,etag_vary,cache_dedup,traffic_bucket,interface_map_refs,test_files,actual_supported_versions,contract_supported_versions,actual_error_codes_local,contract_error_codes_local,actual_error_codes_inherited,contract_error_codes_inherited,actual_feature_gate,contract_feature_gate,actual_has_boundary,contract_has_boundary
DELETE,/slimapi/session/{session_id},src/oc_slimapi/routes/write_groups.py:274,v3:§10.a|v3:§10.b|v4:§3.3|v4:§5.2|v4:§10|v4:§13|v4:§16|v4:§16.1|v4:§16.2,both,dual,query,DELETE /session/{id},none,no-store（写路由不启用 ETag）,none,write_session,INTERFACE_MAP.md:26|INTERFACE_MAP.md:27|INTERFACE_MAP.md:28|INTERFACE_MAP.md:30|INTERFACE_MAP.md:31|INTERFACE_MAP.md:32,test_access_log_v3_fields.py|test_actions_routes.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py|test_catalog_cache.py|test_check_routes_doc.py|test_children_routes.py,v3|v4,v3|v4,request_too_large|response_too_large|upstream_unavailable,request_too_large|response_too_large|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/actions,src/oc_slimapi/routes/actions.py:130,NONE,both,dual,tolerant,NO_UPSTREAM_IO（本地 manifest）,none,无,none,other,INTERFACE_MAP.md:74|INTERFACE_MAP.md:75|INTERFACE_MAP.md:99,test_actions.py|test_actions_routes.py|test_method_boundary_v4.py|test_post_actions_v4.py|test_readiness_gating_integration.py|test_v3_rawbody_regression.py|test_versions_readiness.py,v3|v4,v3|v4,NONE,NONE,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/agent,src/oc_slimapi/routes/agent.py:17,v3:§6|v3:§10.a|v3:§10.b,both,dual,query,GET /agent,skeleton,启用（catalog 面 identity 强/gzip 弱）+Vary: Accept-Encoding,catalog_cache,agent,INTERFACE_MAP.md:35|INTERFACE_MAP.md:47|INTERFACE_MAP.md:62,test_access_log_v3_fields.py|test_actions_routes.py|test_agent_routes.py|test_b4_new_routes.py|test_catalog_cache.py|test_children_routes.py|test_command_routes.py|test_equivalence_anchor.py|test_etag.py|test_messages_routes.py|test_method_boundary_v4.py|test_post_actions_v4.py,v3|v4,v3|v4,response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/api/session/active,src/oc_slimapi/routes/read_groups.py:582,v3:§10.a,both,dual,none,GET /api/session/active,none,启用 +Vary: Accept-Encoding,none,session_active,INTERFACE_MAP.md:49,test_access_log.py|test_access_log_v3_fields.py|test_actions.py|test_actions_routes.py|test_agent_routes.py|test_app_main.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py,v3|v4,v3|v4,response_too_large|upstream_unavailable,response_too_large|upstream_unavailable,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/command,src/oc_slimapi/routes/command.py:17,v3:§6|v3:§10.a|v3:§10.b,both,dual,query,GET /command,skeleton,启用 +Vary: Accept-Encoding（read_timeout=300s 特例）,catalog_cache,command,INTERFACE_MAP.md:34|INTERFACE_MAP.md:70|INTERFACE_MAP.md:147,test_actions.py|test_agent_routes.py|test_b2_merged_text_compat.py|test_catalog_cache.py|test_command_routes.py|test_etag.py|test_expand_href_v4.py|test_expand_routes.py|test_messages_merged.py|test_messages_routes.py|test_sessions_routes.py|test_skeleton.py,v3|v4,v3|v4,response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/config/providers,src/oc_slimapi/routes/read_groups.py:395,v3:§10.a|v4:§10|v4:§12,both,dual,query,GET /config/providers,mixed,v3: 启用+Vary；v4: canonical ETag（providers-projection-v2 域）+Vary 恒发,none,providers,INTERFACE_MAP.md:46,test_access_log.py|test_access_log_v3_fields.py|test_actions.py|test_actions_routes.py|test_agent_routes.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py|test_catalog_cache.py|test_children_routes.py,v3|v4,v3|v4,provider_projection_limit|provider_upstream_malformed|response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,provider_projection_limit|provider_upstream_malformed|response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,providers.redacted.v4,providers.redacted.v4,YES,YES
GET,/slimapi/directories,src/oc_slimapi/routes/directories.py:17,v4:§4.6,both,dual,tolerant,GET /experimental/session?roots=true&archived=true,skeleton,无,none,directories,INTERFACE_MAP.md:37|INTERFACE_MAP.md:99,test_access_log.py|test_b1b_sweep_shadow.py|test_directories_routes.py|test_errors.py|test_expand_routes.py|test_hub.py|test_messages_routes.py|test_permissions.py|test_questions_coalesce.py|test_questions_routes.py|test_sessions_routes.py|test_v3_directory.py,v3|v4,v3|v4,response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/events,src/oc_slimapi/routes/events.py:40,v3:§7|v4:§7|v4:§10,both,dual,tolerant,NO_UPSTREAM_IO（GlobalHub 进程级订阅）,none,SSE 恒 identity 无 Vary（§7.5 显式例外）,none,events_sse,INTERFACE_MAP.md:81|INTERFACE_MAP.md:89|INTERFACE_MAP.md:99,test_access_log.py|test_access_log_v3_fields.py|test_b4_allowlist.py|test_batch3_lifecycle.py|test_events_tokens.py|test_globalhub_retired_gate.py|test_hub.py|test_hub_behavior_lock.py|test_logging_config.py|test_message_fingerprint.py|test_messages_coalesce.py|test_messages_routes.py,v3|v4,v3|v4,invalid_tokens|sse_subscriber_limit_directory|sse_subscriber_limit_total|tokens_stream_retired_in_v4,invalid_tokens|sse_subscriber_limit_directory|sse_subscriber_limit_total|tokens_stream_retired_in_v4,invalid_version_selector|sse_subscriber_limit_directory|sse_subscriber_limit_total|unsupported_version,invalid_version_selector|sse_subscriber_limit_directory|sse_subscriber_limit_total|unsupported_version,NONE,NONE,YES,YES
GET,/slimapi/file,src/oc_slimapi/routes/read_groups.py:149,v3:§5.7a|v3:§10.a|v3:§11|v4:§5.2,both,dual,query,GET /file,none,启用 +Vary: Accept-Encoding,none,file,INTERFACE_MAP.md:16|INTERFACE_MAP.md:33|INTERFACE_MAP.md:39|INTERFACE_MAP.md:40|INTERFACE_MAP.md:41|INTERFACE_MAP.md:42,test_access_log.py|test_actions.py|test_actions_routes.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_check_routes_doc.py|test_children_routes.py|test_config.py|test_dbaux_lifecycle.py|test_degraded_observability.py|test_diff_routes.py,v3|v4,v3|v4,directory_not_allowed|response_too_large|upstream_unavailable,directory_not_allowed|response_too_large|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/file/content,src/oc_slimapi/routes/read_groups.py:166,v3:§10.a,both,dual,query,GET /file/content,none,启用 +Vary: Accept-Encoding,none,file,INTERFACE_MAP.md:40,test_access_log.py|test_actions.py|test_actions_routes.py|test_agent_routes.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_catalog_cache.py|test_check_routes_doc.py|test_children_routes.py|test_command_routes.py|test_config.py,v3|v4,v3|v4,directory_not_allowed|response_too_large|upstream_unavailable,directory_not_allowed|response_too_large|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
